price,f3,volume,amount_cny,asset,f13,name,market_cap_cny,float_market_cap_cny,latest_shares,updated_epoch,data_date,data_source,fetched_at,candidate_rank,selected_for_enrichment,current_universe_only,historical_backtest_allowed
1.146,0.44,9874210.0,1135204391.0,512890,1,红利低波ETF华泰柏瑞,34579530885,34579530885,30174110720.0,1784275899,2026-07-17,eastmoney.etf_spot,2026-07-19T13:29:02,1,True,True,False
3.135,-0.35,2590332.0,817540556.0,510880,1,红利ETF华泰柏瑞,24983366158,24983366158,7969175808.0,1784275922,2026-07-17,eastmoney.etf_spot,2026-07-19T13:29:02,2,True,True,False
1.396,0.87,1586632.0,221578706.0,515450,1,红利低波50ETF南方,20070061761,20070061761,14376835072.0,1784275905,2026-07-17,eastmoney.etf_spot,2026-07-19T13:29:02,3,True,True,False
1.352,-0.59,3110214.0,423847827.0,515180,1,红利ETF易方达,18654405386,18654405386,13797637120.0,1784275919,2026-07-17,eastmoney.etf_spot,2026-07-19T13:29:02,4,True,True,False
1.139,0.26,2623018.0,300022559.0,563020,1,红利低波ETF易方达,12990192581,12990192581,11404910080.0,1784275900,2026-07-17,eastmoney.etf_spot,2026-07-19T13:29:02,5,True,True,False
1.493,-0.53,3267736.0,491502255.0,515080,1,中证红利ETF招商,12411531350,12411531350,8313148928.0,1784275896,2026-07-17,eastmoney.etf_spot,2026-07-19T13:29:02,6,True,True,False
1.018,0.0,1499692.0,153570439.814,159307,0,红利低波100ETF博时,7536155816,7536155816,7402903552.0,1784273670,2026-07-17,eastmoney.etf_spot,2026-07-19T13:29:02,7,True,True,False
1.176,0.17,1002127.0,118515650.6,159549,0,红利低波ETF天弘,5760664111,5760664111,4898523904.0,1784273643,2026-07-17,eastmoney.etf_spot,2026-07-19T13:29:02,8,True,True,False
1.396,0.0,1610554.0,225922734.0,515100,1,红利低波100ETF景顺,5752136340,5752136340,4120441504.0,1784275904,2026-07-17,eastmoney.etf_spot,2026-07-19T13:29:02,9,True,True,False
1.274,0.95,835133.0,106208493.0,515300,1,300红利低波ETF嘉实,4959905205,4959905205,3893175200.0,1784275906,2026-07-17,eastmoney.etf_spot,2026-07-19T13:29:02,10,True,True,False
0.599,-0.99,753964.0,45497799.0,562060,1,标普A股红利ETF华宝,3285989715,3285989715,5485792512.0,1784275916,2026-07-17,eastmoney.etf_spot,2026-07-19T13:29:02,11,True,True,False
