asset,asset_name,sector,weight,fetched_at,current_component_source,historical_backtest_allowed
600036,招商银行,bank,14.0937,2026-05-24T14:28:23,data_raw\index\akshare_sw_industry\components_current\801780.csv,False
601166,兴业银行,bank,9.0286,2026-05-24T14:28:23,data_raw\index\akshare_sw_industry\components_current\801780.csv,False
601288,农业银行,bank,7.0285,2026-05-24T14:28:23,data_raw\index\akshare_sw_industry\components_current\801780.csv,False
601398,工商银行,bank,6.3984,2026-05-24T14:28:23,data_raw\index\akshare_sw_industry\components_current\801780.csv,False
601328,交通银行,bank,5.3586,2026-05-24T14:28:23,data_raw\index\akshare_sw_industry\components_current\801780.csv,False
600919,江苏银行,bank,5.0675,2026-05-24T14:28:23,data_raw\index\akshare_sw_industry\components_current\801780.csv,False
601988,中国银行,bank,4.865,2026-05-24T14:28:23,data_raw\index\akshare_sw_industry\components_current\801780.csv,False
002142,宁波银行,bank,4.251,2026-05-24T14:28:23,data_raw\index\akshare_sw_industry\components_current\801780.csv,False
601939,建设银行,bank,4.0094,2026-05-24T14:28:23,data_raw\index\akshare_sw_industry\components_current\801780.csv,False
000001,平安银行,bank,3.6063,2026-05-24T14:28:23,data_raw\index\akshare_sw_industry\components_current\801780.csv,False
600000,浦发银行,bank,3.4853,2026-05-24T14:28:23,data_raw\index\akshare_sw_industry\components_current\801780.csv,False
601169,北京银行,bank,2.9327,2026-05-24T14:28:23,data_raw\index\akshare_sw_industry\components_current\801780.csv,False
601229,上海银行,bank,2.6863,2026-05-24T14:28:23,data_raw\index\akshare_sw_industry\components_current\801780.csv,False
600016,民生银行,bank,2.6365,2026-05-24T14:28:23,data_raw\index\akshare_sw_industry\components_current\801780.csv,False
601916,浙商银行,bank,2.0186,2026-05-24T14:28:23,data_raw\index\akshare_sw_industry\components_current\801780.csv,False
601009,南京银行,bank,1.9613,2026-05-24T14:28:23,data_raw\index\akshare_sw_industry\components_current\801780.csv,False
600926,杭州银行,bank,1.8429,2026-05-24T14:28:23,data_raw\index\akshare_sw_industry\components_current\801780.csv,False
601658,邮储银行,bank,1.8321,2026-05-24T14:28:23,data_raw\index\akshare_sw_industry\components_current\801780.csv,False
601818,光大银行,bank,1.7207,2026-05-24T14:28:23,data_raw\index\akshare_sw_industry\components_current\801780.csv,False
601838,成都银行,bank,1.5467,2026-05-24T14:28:23,data_raw\index\akshare_sw_industry\components_current\801780.csv,False
601998,中信银行,bank,1.5371,2026-05-24T14:28:23,data_raw\index\akshare_sw_industry\components_current\801780.csv,False
601825,沪农商行,bank,1.5124,2026-05-24T14:28:23,data_raw\index\akshare_sw_industry\components_current\801780.csv,False
601077,渝农商行,bank,1.4513,2026-05-24T14:28:23,data_raw\index\akshare_sw_industry\components_current\801780.csv,False
600015,华夏银行,bank,1.2361,2026-05-24T14:28:23,data_raw\index\akshare_sw_industry\components_current\801780.csv,False
002966,苏州银行,bank,1.0423,2026-05-24T14:28:23,data_raw\index\akshare_sw_industry\components_current\801780.csv,False
601128,常熟银行,bank,0.8259,2026-05-24T14:28:23,data_raw\index\akshare_sw_industry\components_current\801780.csv,False
601577,长沙银行,bank,0.7004,2026-05-24T14:28:23,data_raw\index\akshare_sw_industry\components_current\801780.csv,False
601997,贵阳银行,bank,0.6349,2026-05-24T14:28:23,data_raw\index\akshare_sw_industry\components_current\801780.csv,False
601665,齐鲁银行,bank,0.4197,2026-05-24T14:28:23,data_raw\index\akshare_sw_industry\components_current\801780.csv,False
002958,青农商行,bank,0.4149,2026-05-24T14:28:23,data_raw\index\akshare_sw_industry\components_current\801780.csv,False
002948,青岛银行,bank,0.4078,2026-05-24T14:28:23,data_raw\index\akshare_sw_industry\components_current\801780.csv,False
601963,重庆银行,bank,0.3968,2026-05-24T14:28:23,data_raw\index\akshare_sw_industry\components_current\801780.csv,False
002807,江阴银行,bank,0.3596,2026-05-24T14:28:23,data_raw\index\akshare_sw_industry\components_current\801780.csv,False
002936,郑州银行,bank,0.3554,2026-05-24T14:28:23,data_raw\index\akshare_sw_industry\components_current\801780.csv,False
603323,苏农银行,bank,0.3359,2026-05-24T14:28:23,data_raw\index\akshare_sw_industry\components_current\801780.csv,False
002839,张家港行,bank,0.3312,2026-05-24T14:28:23,data_raw\index\akshare_sw_industry\components_current\801780.csv,False
601528,瑞丰银行,bank,0.3312,2026-05-24T14:28:23,data_raw\index\akshare_sw_industry\components_current\801780.csv,False
600908,无锡银行,bank,0.3124,2026-05-24T14:28:23,data_raw\index\akshare_sw_industry\components_current\801780.csv,False
001227,兰州银行,bank,0.3049,2026-05-24T14:28:23,data_raw\index\akshare_sw_industry\components_current\801780.csv,False
601187,厦门银行,bank,0.2865,2026-05-24T14:28:23,data_raw\index\akshare_sw_industry\components_current\801780.csv,False
601860,紫金银行,bank,0.2721,2026-05-24T14:28:23,data_raw\index\akshare_sw_industry\components_current\801780.csv,False
600928,西安银行,bank,0.1589,2026-05-24T14:28:23,data_raw\index\akshare_sw_industry\components_current\801780.csv,False
601318,中国平安,insurance,71.6889,2026-05-24T14:28:28,data_raw\index\akshare_sw_industry\components_current\801194.csv,False
601601,中国太保,insurance,12.9402,2026-05-24T14:28:28,data_raw\index\akshare_sw_industry\components_current\801194.csv,False
601628,中国人寿,insurance,7.0864,2026-05-24T14:28:28,data_raw\index\akshare_sw_industry\components_current\801194.csv,False
601336,新华保险,insurance,5.8151,2026-05-24T14:28:28,data_raw\index\akshare_sw_industry\components_current\801194.csv,False
601319,中国人保,insurance,2.4691,2026-05-24T14:28:28,data_raw\index\akshare_sw_industry\components_current\801194.csv,False
600900,长江电力,utility,20.6881,2026-05-24T14:28:22,data_raw\index\akshare_sw_industry\components_current\801160.csv,False
601985,中国核电,utility,4.8022,2026-05-24T14:28:22,data_raw\index\akshare_sw_industry\components_current\801160.csv,False
600905,三峡能源,utility,3.518,2026-05-24T14:28:22,data_raw\index\akshare_sw_industry\components_current\801160.csv,False
600795,国电电力,utility,2.9701,2026-05-24T14:28:22,data_raw\index\akshare_sw_industry\components_current\801160.csv,False
600886,国投电力,utility,2.585,2026-05-24T14:28:22,data_raw\index\akshare_sw_industry\components_current\801160.csv,False
600674,川投能源,utility,1.9411,2026-05-24T14:28:22,data_raw\index\akshare_sw_industry\components_current\801160.csv,False
003816,中国广核,utility,1.7957,2026-05-24T14:28:22,data_raw\index\akshare_sw_industry\components_current\801160.csv,False
600021,上海电力,utility,1.7287,2026-05-24T14:28:22,data_raw\index\akshare_sw_industry\components_current\801160.csv,False
600930,华电新能,utility,1.6319,2026-05-24T14:28:22,data_raw\index\akshare_sw_industry\components_current\801160.csv,False
600025,华能水电,utility,1.6033,2026-05-24T14:28:22,data_raw\index\akshare_sw_industry\components_current\801160.csv,False
