path,name,extension,size_bytes,modified_time,top_dir,doc_type,topic_tags,priority_hint,status,next_action
00-量化研究框架.md,00-量化研究框架.md,.md,7059,2026-05-22T00:36:36,.,markdown,foundation,P0,new,deep_read
01-量化研究入门课程.md,01-量化研究入门课程.md,.md,15897,2026-05-22T02:48:31,.,markdown,foundation,P0,new,deep_read
factor_library\AI因子挖掘与端到端AlphaNet框架.md,AI因子挖掘与端到端AlphaNet框架.md,.md,4768,2026-05-23T16:35:16,factor_library,markdown,foundation|factor|ml,P0,new,deep_read
factor_library\AI金融论文雷达筛选框架.md,AI金融论文雷达筛选框架.md,.md,1736,2026-05-23T12:21:52,factor_library,markdown,foundation|factor|ml,P0,new,deep_read
factor_library\LOB深度高频与注意力机制框架.md,LOB深度高频与注意力机制框架.md,.md,2494,2026-05-23T17:50:45,factor_library,markdown,foundation|factor,P0,new,deep_read
factor_library\价格形态高频偏度与分析师预期因子框架.md,价格形态高频偏度与分析师预期因子框架.md,.md,3310,2026-05-23T17:02:26,factor_library,markdown,foundation|factor,P0,new,deep_read
factor_library\关系网络资产稳定价量波幅与被动扩张框架.md,关系网络资产稳定价量波幅与被动扩张框架.md,.md,3151,2026-05-23T17:41:41,factor_library,markdown,foundation|factor,P0,new,deep_read
factor_library\动态风控预期调整与宏观敏感性框架.md,动态风控预期调整与宏观敏感性框架.md,.md,2865,2026-05-23T17:21:39,factor_library,markdown,foundation|factor|risk|macro,P0,new,deep_read
factor_library\华泰标准单因子测试框架.md,华泰标准单因子测试框架.md,.md,3156,2026-05-23T12:28:11,factor_library,markdown,foundation|factor,P0,new,deep_read
factor_library\可治理多因子模型系统框架.md,可治理多因子模型系统框架.md,.md,2289,2026-05-23T20:45:45,factor_library,markdown,foundation|factor,P0,new,deep_read
factor_library\因子合成与历史分位数技术因子框架.md,因子合成与历史分位数技术因子框架.md,.md,2441,2026-05-23T12:39:57,factor_library,markdown,foundation|factor,P0,new,deep_read
factor_library\因子降维预期质量与择时模型框架.md,因子降维预期质量与择时模型框架.md,.md,3705,2026-05-23T17:17:16,factor_library,markdown,foundation|factor|timing,P0,new,deep_read
factor_library\基本面综合因子溢价调整与分位数回归框架.md,基本面综合因子溢价调整与分位数回归框架.md,.md,3656,2026-05-23T17:10:03,factor_library,markdown,foundation|factor,P0,new,deep_read
factor_library\基金因子评价与正交化框架.md,基金因子评价与正交化框架.md,.md,4388,2026-05-23T16:44:24,factor_library,markdown,foundation|factor|fund_etf,P0,new,deep_read
factor_library\宏观T值筛选异质动量与盈利趋势因子框架.md,宏观T值筛选异质动量与盈利趋势因子框架.md,.md,3185,2026-05-23T17:31:38,factor_library,markdown,foundation|factor|timing|macro,P0,new,deep_read
factor_library\尾部相关极值因子与净换手率框架.md,尾部相关极值因子与净换手率框架.md,.md,5232,2026-05-23T18:11:25,factor_library,markdown,foundation|factor|execution,P0,new,deep_read
factor_library\情绪资本流与隐性杠杆约束因子框架.md,情绪资本流与隐性杠杆约束因子框架.md,.md,5235,2026-05-23T16:30:00,factor_library,markdown,foundation|factor|sentiment,P0,new,deep_read
factor_library\技术指标信号验证框架.md,技术指标信号验证框架.md,.md,1827,2026-05-23T12:19:26,factor_library,markdown,foundation|factor|timing,P0,new,deep_read
factor_library\投资者情绪指数因子框架.md,投资者情绪指数因子框架.md,.md,2021,2026-05-23T12:47:44,factor_library,markdown,foundation|factor|sentiment,P0,new,deep_read
factor_library\指数级行业轮动与大小盘切换复杂因子框架.md,指数级行业轮动与大小盘切换复杂因子框架.md,.md,3072,2026-05-24T19:08:32,factor_library,markdown,foundation|factor,P0,new,deep_read
factor_library\数百因子量化模型构建框架.md,数百因子量化模型构建框架.md,.md,4347,2026-05-23T19:00:06,factor_library,markdown,foundation|factor,P0,new,deep_read
factor_library\文本情绪因子与股指期货策略框架.md,文本情绪因子与股指期货策略框架.md,.md,4117,2026-05-23T16:40:28,factor_library,markdown,foundation|factor|sentiment|derivatives,P0,new,deep_read
factor_library\日内大单ROE预测与风格分类框架.md,日内大单ROE预测与风格分类框架.md,.md,2516,2026-05-23T17:46:03,factor_library,markdown,foundation|factor,P0,new,deep_read
factor_library\短周期价量动态反转与Level2因子框架.md,短周期价量动态反转与Level2因子框架.md,.md,3221,2026-05-23T16:50:40,factor_library,markdown,foundation|factor|timing,P0,new,deep_read
factor_library\股票久期ROE_SUE无形资产混频因子框架.md,股票久期ROE_SUE无形资产混频因子框架.md,.md,5742,2026-05-23T18:05:27,factor_library,markdown,foundation|factor,P0,new,deep_read
factor_library\行业质量五因子与回归树择时框架.md,行业质量五因子与回归树择时框架.md,.md,2875,2026-05-23T17:37:09,factor_library,markdown,foundation|factor|timing,P0,new,deep_read
factor_library\行为准另类技术择时因子框架.md,行为准另类技术择时因子框架.md,.md,3760,2026-05-23T18:19:29,factor_library,markdown,foundation|factor|timing,P0,new,deep_read
